datetime,low,high,open,close,volumefrom,volumeto
2016-09-07,0.1876,1.472,0.1868,0.6132,33387.62,20473.62
2016-09-08,0.5812,0.6256,0.6132,0.5812,107.64,62.56
2016-09-09,0.2493,0.5789,0.5812,0.5608,2822.47,1582.97
2016-09-10,0.3747,0.5621,0.5608,0.3997,1849.95,739.41
2016-09-11,0.3876,0.393,0.3997,0.393,2000.0,785.96
2016-09-12,0.383,0.3945,0.393,0.383,2700.0,1034.17
2016-09-13,0.3834,0.3944,0.383,0.3894,1552.0,604.43
2016-09-14,0.3048,0.3901,0.3894,0.3901,609.8,237.89
2016-09-15,0.3041,0.3892,0.3901,0.3041,379.68,115.44
2016-09-16,0.3039,0.3944,0.3041,0.3944,900.0,355.0
2016-09-17,0.394,0.394,0.3944,0.394,1709.75,673.63
2016-09-18,0.3963,0.3963,0.394,0.3963,470.58,186.51
2016-09-19,0.3049,0.3964,0.3963,0.3049,1399.74,426.82
2016-09-20,0.3046,0.396,0.3049,0.3838,39.0,14.97
2016-09-21,0.3762,0.3762,0.3838,0.3762,100.39,37.77
2016-09-25,0.3789,0.391,0.3796,0.391,100.0,39.1
2016-09-26,0.3943,0.3943,0.391,0.3943,1.0,0.3943
2016-09-29,0.381,0.3931,0.393,0.381,4.994,1.903
2016-09-30,0.3831,0.3831,0.381,0.3831,9.804,3.756
2016-10-01,0.3864,0.3987,0.3831,0.3987,200.0,79.74
2016-10-02,0.3847,0.3969,0.3987,0.3847,9.804,3.772
2016-10-05,0.3854,0.3977,0.3836,0.3977,2310.77,918.95
2016-10-09,0.4003,0.4003,0.4015,0.4003,245.32,98.19
2016-10-18,0.3749,0.413,0.4143,0.3749,6764.79,2535.79
2016-10-20,0.1885,0.3707,0.3711,0.1885,10.0,1.885
2016-10-21,0.09898,0.1891,0.1885,0.1828,116.0,21.21
2016-10-22,0.09963,0.1901,0.1828,0.09963,2304.99,229.65
2016-10-23,0.09926,0.3722,0.09963,0.111,357.55,39.69
2016-10-24,0.09887,0.3187,0.111,0.09887,580.28,57.37
2016-10-25,0.09895,0.319,0.09887,0.09908,2120.94,210.15
2016-10-26,0.1425,0.1844,0.09908,0.1654,41921.38,6932.19
2016-10-27,0.1249,0.1814,0.1654,0.1288,254213.83,32730.03
2016-10-28,0.1215,0.1716,0.1288,0.1578,191472.97,30221.17
2016-10-29,0.1501,0.1759,0.1578,0.1614,195050.3,31488.08
2016-10-30,0.1534,0.1904,0.1614,0.1813,140957.14,25554.15
2016-10-31,0.1793,0.2612,0.1813,0.2468,338118.27,83461.15
2016-11-01,0.1826,0.2565,0.2468,0.2065,220426.22,45527.98
2016-11-02,0.1907,0.2193,0.2065,0.1919,50010.14,9596.26
2016-11-03,0.1486,0.1851,0.1919,0.1746,92361.04,16130.1
2016-11-04,0.1644,0.1886,0.1746,0.1712,19148.44,3277.58
2016-11-05,0.1643,0.1963,0.1712,0.1868,25218.99,4711.7
2016-11-06,0.1704,0.1977,0.1868,0.1704,11350.91,1933.95
2016-11-07,0.1481,0.189,0.1704,0.1834,109959.01,20166.92
2016-11-08,0.1493,0.1848,0.1834,0.1654,79154.78,13094.29
2016-11-09,0.1443,0.1718,0.1654,0.1585,28090.56,4452.24
2016-11-10,0.1501,0.1744,0.1585,0.1694,38177.34,6465.45
2016-11-11,0.1624,0.1973,0.1694,0.1685,168115.65,28330.59
2016-11-12,0.166,0.1831,0.1685,0.1775,48702.53,8646.96
2016-11-13,0.1657,0.179,0.1775,0.1722,53717.35,9249.76
2016-11-14,0.1683,0.1902,0.1722,0.1832,138107.66,25299.33
2016-11-15,0.1707,0.192,0.1832,0.1773,52596.49,9324.16
2016-11-16,0.1259,0.1843,0.1773,0.1628,136191.54,22170.29
2016-11-17,0.1604,0.1758,0.1628,0.1735,54848.98,9518.54
2016-11-18,0.1531,0.1805,0.1735,0.1653,78563.07,12986.65
2016-11-19,0.1603,0.1691,0.1653,0.1624,5479.37,890.08
2016-11-20,0.1563,0.1712,0.1624,0.1684,30436.67,5124.28
2016-11-21,0.1671,0.1715,0.1684,0.1701,12701.58,2160.03
2016-11-22,0.1574,0.1745,0.1701,0.158,36396.09,5749.16
2016-11-23,0.1572,0.167,0.158,0.1593,29416.13,4686.87
2016-11-24,0.1515,0.1749,0.1593,0.1658,33813.0,5606.61
2016-11-25,0.1629,0.1786,0.1658,0.1695,105052.44,17811.57
2016-11-26,0.1673,0.1818,0.1695,0.1673,38024.96,6361.98
2016-11-27,0.1662,0.1761,0.1673,0.167,38356.24,6406.92
2016-11-28,0.1628,0.1709,0.167,0.1656,30143.45,4991.13
2016-11-29,0.1355,0.1654,0.1656,0.1459,85791.7,12519.24
2016-11-30,0.1385,0.1485,0.1459,0.1426,42971.1,6125.88
2016-12-01,0.133,0.1445,0.1426,0.1355,106418.3,14424.86
2016-12-02,0.1326,0.1387,0.1355,0.1354,128796.48,17436.09
2016-12-03,0.1336,0.1445,0.1354,0.1418,70666.64,10018.16
2016-12-04,0.1412,0.1483,0.1418,0.1438,38930.32,5597.2
2016-12-05,0.1373,0.1415,0.1438,0.1377,37211.07,5122.74
2016-12-06,0.1327,0.1391,0.1377,0.1339,63292.99,8474.92
2016-12-07,0.1344,0.14,0.1339,0.1373,26706.26,3667.88
2016-12-08,0.1366,0.1383,0.1373,0.1366,13591.49,1857.11
2016-12-09,0.1293,0.1375,0.1366,0.1313,63148.33,8290.73
2016-12-10,0.1264,0.1299,0.1313,0.1284,41496.46,5328.42
2016-12-11,0.1219,0.1254,0.1284,0.1224,20319.88,2487.25
2016-12-12,0.1255,0.13,0.1224,0.1281,42719.55,5470.59
2016-12-13,0.1214,0.1411,0.1281,0.1214,39142.14,4752.07
2016-12-14,0.1182,0.1254,0.1214,0.1191,61750.52,7355.42
2016-12-15,0.1102,0.1385,0.1191,0.136,20011.13,2722.5
2016-12-16,0.1103,0.1172,0.136,0.1103,45547.7,5022.5
2016-12-17,0.0991,0.1135,0.1103,0.1023,6480.74,663.19
2016-12-18,0.1001,0.1152,0.1023,0.1105,22654.34,2502.43
2016-12-19,0.09912,0.1174,0.1105,0.109,23554.06,2567.18
2016-12-20,0.1079,0.1195,0.109,0.1195,51366.9,6140.67
2016-12-21,0.124,0.1629,0.1195,0.1629,43023.09,7006.6
2016-12-22,0.1462,0.1935,0.1629,0.1463,34659.42,5071.07
2016-12-23,0.1114,0.1619,0.1463,0.1114,47356.26,5277.2
2016-12-24,0.1081,0.1373,0.1114,0.1295,5963.24,772.08
2016-12-25,0.1292,0.1514,0.1295,0.136,5456.68,741.98
2016-12-26,0.1375,0.1707,0.136,0.1623,16191.77,2628.53
2016-12-27,0.1481,0.1673,0.1623,0.1637,6143.95,1005.63
2016-12-28,0.1379,0.1719,0.1637,0.1458,7521.78,1096.87
2016-12-29,0.136,0.1577,0.1458,0.1382,30425.08,4204.28
2016-12-30,0.1344,0.1449,0.1382,0.1449,6676.19,967.45
2016-12-31,0.1351,0.1438,0.1449,0.1351,1053.25,142.26
2017-01-01,0.1367,0.1645,0.1351,0.1381,158.21,21.84
2017-01-02,0.1424,0.1829,0.1381,0.1508,17502.08,2639.81
2017-01-03,0.1385,0.1532,0.1508,0.1385,40860.45,5657.63
2017-01-04,0.1215,0.1521,0.1385,0.1267,40982.7,5192.99
2017-01-05,0.1095,0.1435,0.1267,0.1432,42786.51,6125.27
2017-01-06,0.1152,0.1418,0.1432,0.1394,61057.44,8510.98
2017-01-07,0.1247,0.1537,0.1394,0.1247,22586.99,2816.79
2017-01-08,0.1285,0.1465,0.1247,0.1312,44133.93,5788.84
2017-01-09,0.1215,0.1462,0.1312,0.1216,61608.42,7489.14
2017-01-10,0.124,0.1373,0.1216,0.1259,22979.09,2892.8
2017-01-11,0.09441,0.1219,0.1259,0.1133,81253.48,9209.07
2017-01-12,0.1167,0.1348,0.1133,0.1272,35751.64,4547.15
2017-01-13,0.1228,0.1317,0.1272,0.1317,8516.02,1121.78
2017-01-14,0.118,0.1295,0.1317,0.1253,55982.72,7015.83
2017-01-15,0.1176,0.1337,0.1253,0.1247,28845.17,3598.02
2017-01-16,0.1185,0.1258,0.1247,0.1187,36888.4,4379.51
2017-01-17,0.1152,0.1435,0.1187,0.1152,41352.77,4762.04
2017-01-18,0.1132,0.1245,0.1152,0.1189,9309.57,1106.51
2017-01-19,0.1168,0.1271,0.1189,0.1192,42566.02,5071.85
2017-01-20,0.1136,0.1302,0.1192,0.1302,77812.38,10130.1
2017-01-21,0.115,0.1341,0.1302,0.1208,122894.87,14842.63
2017-01-22,0.1112,0.1206,0.1208,0.1149,43780.02,5028.35
2017-01-23,0.1124,0.1318,0.1149,0.1198,48967.77,5865.84
2017-01-24,0.11,0.1274,0.1198,0.1205,51505.18,6205.22
2017-01-25,0.1145,0.1297,0.1205,0.1238,51764.25,6407.71
2017-01-26,0.1247,0.1419,0.1238,0.1323,34100.57,4511.45
2017-01-27,0.1278,0.1368,0.1323,0.1315,29824.26,3920.67
2017-01-28,0.1279,0.1398,0.1315,0.1341,42180.16,5656.46
2017-01-29,0.1299,0.1418,0.1341,0.1381,38968.36,5381.42
2017-01-30,0.1363,0.1519,0.1381,0.1517,48624.29,7378.07
2017-01-31,0.1448,0.1637,0.1517,0.1458,83612.67,12189.81
2017-02-01,0.1405,0.1508,0.1458,0.1462,29786.45,4354.35
2017-02-02,0.1367,0.1473,0.1462,0.146,20100.75,2934.25
2017-02-03,0.1323,0.1473,0.146,0.1323,46245.42,6118.29
2017-02-04,0.1349,0.1491,0.1323,0.1444,63435.93,9157.35
2017-02-05,0.1275,0.1422,0.1444,0.1302,24771.39,3224.34
2017-02-06,0.1222,0.1374,0.1302,0.1329,63001.53,8372.88
2017-02-07,0.1272,0.1361,0.1329,0.1322,37446.42,4952.09
2017-02-08,0.1243,0.133,0.1322,0.1267,37911.66,4801.85
2017-02-09,0.1127,0.1322,0.1267,0.1246,72919.67,9087.37
2017-02-10,0.1199,0.1338,0.1246,0.1271,17627.13,2240.33
2017-02-11,0.1219,0.1282,0.1271,0.1265,2214.25,280.2
2017-02-12,0.1168,0.1369,0.1265,0.1213,27395.61,3322.44
2017-02-13,0.1175,0.1303,0.1213,0.1175,28168.38,3308.45
2017-02-14,0.113,0.125,0.1175,0.1171,41461.02,4853.77
2017-02-15,0.1109,0.1225,0.1171,0.1126,38856.54,4375.82
2017-02-16,0.1146,0.127,0.1126,0.127,61363.94,7795.1
2017-02-17,0.1154,0.1312,0.127,0.1229,227076.75,27904.53
2017-02-18,0.1187,0.131,0.1229,0.1231,82988.97,10217.33
2017-02-19,0.1183,0.123,0.1231,0.123,35553.69,4374.34
2017-02-20,0.1185,0.1298,0.123,0.1213,84015.37,10193.86
2017-02-21,0.1164,0.1309,0.1213,0.127,87762.58,11146.72
2017-02-22,0.116,0.1272,0.127,0.121,41038.29,4966.03
2017-02-23,0.1172,0.1266,0.121,0.1195,43971.19,5256.09
2017-02-24,0.08353,0.1376,0.1195,0.1216,153496.8,18672.74
2017-02-25,0.1126,0.1194,0.1216,0.1149,65121.69,7482.81
2017-02-26,0.105,0.1179,0.1149,0.1156,73290.9,8474.13
2017-02-27,0.111,0.121,0.1156,0.1165,58103.07,6769.32
2017-02-28,0.1131,0.1189,0.1165,0.1182,135208.19,15986.64
2017-03-01,0.1162,0.1393,0.1182,0.1379,88962.78,12269.4
2017-03-02,0.118,0.1416,0.1379,0.1197,72259.68,8651.05
2017-03-03,0.1206,0.1247,0.1197,0.1209,49493.24,5981.81
2017-03-04,0.1188,0.1236,0.1209,0.1208,50181.77,6063.52
2017-03-05,0.1189,0.1255,0.1208,0.1223,32326.17,3951.98
2017-03-06,0.1194,0.1242,0.1223,0.1226,56807.34,6964.18
2017-03-07,0.1159,0.122,0.1226,0.122,41159.16,5022.91
2017-03-08,0.1136,0.1247,0.122,0.115,40240.61,4629.32
2017-03-09,0.1179,0.143,0.115,0.1326,125450.56,16634.12
2017-03-10,0.1101,0.1362,0.1326,0.1297,244454.02,31706.83
2017-03-11,0.1297,0.1455,0.1297,0.1429,207899.45,29713.29
2017-03-12,0.1348,0.1485,0.1429,0.1413,199714.21,28210.67
2017-03-13,0.1305,0.1428,0.1413,0.1387,71781.04,9954.4
2017-03-14,0.1274,0.143,0.1387,0.1366,125102.11,17091.59
2017-03-15,0.1285,0.143,0.1366,0.1292,100388.79,12973.11
2017-03-16,0.1185,0.1317,0.1292,0.1317,101897.31,13421.35
2017-03-17,0.1136,0.139,0.1317,0.1322,157052.29,20770.01
2017-03-18,0.1199,0.1618,0.1322,0.1615,145418.49,23490.97
2017-03-19,0.1513,0.1704,0.1615,0.1565,83558.45,13073.37
2017-03-20,0.1414,0.1745,0.1565,0.1614,151684.0,24485.03
2017-03-21,0.1526,0.1738,0.1614,0.157,92103.49,14458.46
2017-03-22,0.1463,0.1672,0.157,0.1661,121031.25,20104.56
2017-03-23,0.1501,0.1672,0.1661,0.1599,80847.19,12928.45
2017-03-24,0.1452,0.1785,0.1599,0.166,134874.75,22395.28
2017-03-25,0.1594,0.1759,0.166,0.1672,61034.76,10203.17
2017-03-26,0.1551,0.1842,0.1672,0.1567,139764.77,21895.76
2017-03-27,0.1689,0.1943,0.1567,0.1813,185757.71,33683.78
2017-03-28,0.1737,0.2298,0.1813,0.2211,268394.39,59343.0
2017-03-29,0.2023,0.2282,0.2211,0.2161,115571.33,24973.82
2017-03-30,0.2026,0.2315,0.2161,0.2106,144733.58,30479.73
2017-03-31,0.205,0.2309,0.2106,0.2093,116728.91,24436.89
2017-04-01,0.1738,0.2164,0.2093,0.2043,93286.75,19058.41
2017-04-02,0.1931,0.2075,0.2043,0.1931,36856.87,7118.62
2017-04-03,0.1779,0.2116,0.1931,0.1854,54249.22,10060.28
2017-04-04,0.1845,0.1941,0.1854,0.1941,24429.14,4741.72
2017-04-05,0.1672,0.1961,0.1941,0.1785,59233.29,10574.29
2017-04-06,0.1759,0.1968,0.1785,0.1842,81548.85,15025.25
2017-04-07,0.1786,0.1905,0.1842,0.1879,22091.6,4150.11
2017-04-08,0.1863,0.196,0.1879,0.1906,8487.48,1617.53
2017-04-09,0.1807,0.1999,0.1906,0.1915,60841.57,11650.56
2017-04-10,0.1919,0.213,0.1915,0.2055,22923.4,4710.82
2017-04-11,0.1877,0.2079,0.2055,0.2044,62315.88,12734.37
2017-04-12,0.1879,0.2073,0.2044,0.1899,126260.28,23974.58
2017-04-13,0.1842,0.1971,0.1899,0.1971,8196.16,1615.72
2017-04-14,0.1854,0.1976,0.1971,0.1974,46693.52,9219.09
2017-04-15,0.1857,0.1974,0.1974,0.193,7389.66,1426.4
